id|name|legend|faction_id|description|Unnamed: 5
705|Synapse|Some Tyranids serve as synaptic conduits or nodal relays through which a portion of the Hive Minds iron will flows, overriding the natural instincts of the swarm to direct the teeming warrior-beasts to function as a single, gestalt organism on the battlefield.|TYR|"If your Army Faction is TYRANIDS, while a TYRANIDS unit from your army is within 6"" of one or more friendly Synapse models, that TYRANIDS unit is said to be within Synapse Range of that model and of your army. While a TYRANIDS unit from your army is within Synapse Range of your army: Each time that unit takes a Battle-shock test, take that test on 3D6 instead of 2D6. Each time a model in that unit makes a melee attack, add 1 to the Strength characteristic of that attack."|
705|Synapse|Some Tyranids serve as synaptic conduits or nodal relays through which a portion of the Hive Minds iron will flows, overriding the natural instincts of the swarm to direct the teeming warrior-beasts to function as a single, gestalt organism on the battlefield.|GC|"If your Army Faction is TYRANIDS, while a TYRANIDS unit from your army is within 6"" of one or more friendly Synapse models, that TYRANIDS unit is said to be within Synapse Range of that model and of your army. While a TYRANIDS unit from your army is within Synapse Range of your army: Each time that unit takes a Battle-shock test, take that test on 3D6 instead of 2D6. Each time a model in that unit makes a melee attack, add 1 to the Strength characteristic of that attack."|
707|Shadow in the Warp|Tyranids flood the battlefield with the psychic signature of the hive fleet - an icy, alien dread that gnaws at the minds of their prey and smothers even the most stalwart courage. When faced with such unfathomable horror, many are driven insane or suffer catastrophic neural damage.|TYR|"If your Army Faction is TYRANIDS, once per battle, in either players Command phase, if one or more units from your army with this ability are on the battlefield, you can unleash the Shadow in the Warp. When you do, each enemy unit on the battlefield must take a Battle-shock test. Each time an enemy unit takes such a Battle-shock test, if it is within 6"" of one or more Synapse units from your army, subtract 1 from that test."|
707|Shadow in the Warp|Tyranids flood the battlefield with the psychic signature of the hive fleet - an icy, alien dread that gnaws at the minds of their prey and smothers even the most stalwart courage. When faced with such unfathomable horror, many are driven insane or suffer catastrophic neural damage.|GC|"If your Army Faction is TYRANIDS, once per battle, in either players Command phase, if one or more units from your army with this ability are on the battlefield, you can unleash the Shadow in the Warp. When you do, each enemy unit on the battlefield must take a Battle-shock test. Each time an enemy unit takes such a Battle-shock test, if it is within 6"" of one or more Synapse units from your army, subtract 1 from that test."|
3676|Waaagh!|The infamous war cry of the Orks is known and feared throughout the galaxy. When it echoes across the battlefield, bellowed from hundreds or even thousands of greenskin mouths, even the most stalwart warriors fear the onslaught to come. |ORK|If your Army Faction is ORKS, once per battle, at the start of your Command phase, you can call a Waaagh!. If you do, until the start of your next Command phase, the Waaagh! is active for your army and:Units from your army with this ability are eligible to declare a charge in a turn in which they Advanced.Add 1 to the Strength and Attacks characteristics of melee weapons equipped by models from your army with this ability.Models from your army with this ability have a 5+ invulnerable save.|
8334|Firing Deck|Some transports have firing hatches, ports or platforms from which embarked passengers can shoot.||FIRING DECKSome transports have firing hatches, ports or platforms from which embarked passengers can shoot.Some TRANSPORT models have Firing Deck x listed in their abilities. Each time such a model is selected to shoot in the Shooting phase, you can select up to x models embarked within it whose units have not already shot this phase. Then, for each of those embarked models, you can select one ranged weapon that embarked model is equipped with (excluding weapons with the [ONE SHOT] ability). Until that TRANSPORT model has resolved all of its attacks, it counts as being equipped with all of the weapons you selected in this way, in addition to its other weapons. Until the end of the phase, those selected models units are not eligible to shoot.Firing Deck x: Each time this TRANSPORT shoots, select one weapon (excluding weapons with the [ONE SHOT] ability) from up to x models embarked within it whose units have not shot this phase; this TRANSPORT counts as being equipped with those weapons as well. Until the end of the phase, those selected models units are not eligible to shoot.|
8336|Lone Operative|Assassins and other covert agents are difficult to track and pinpoint in the swirling maelstrom of battle.||"LONE OPERATIVEAssassins and other covert agents are difficult to track and pinpoint in the swirling maelstrom of battle.Unless part of an Attached unit (see Leader), this unit can only be selected as the target of a ranged attack if the attacking model is within 12""."|
8337|Stealth|Some warriors are masters of disguise and concealment.||STEALTHSome warriors are masters of disguise and concealment.If every model in a unit has this ability, then each time a ranged attack is made against it, subtract 1 from that attacks Hit roll.|
8338|Feel No Pain|Some warriors refuse to be laid low, even by what should be fatal wounds.||FEEL NO PAINSome warriors refuse to be laid low, even by what should be fatal wounds.Some models have Feel No Pain x+ listed in their abilities. Each time a model with this ability suffers damage and so would lose a wound (including wounds lost due to mortal wounds), roll one D6: if the result is greater than or equal to the number denoted by x, that wound is ignored and is not lost. If a model has more than one Feel No Pain ability, you can only use one of those abilities each time that model suffers damage and so would lose a wound.Feel No Pain x+: Each time this model would lose a wound, roll one D6: if the result equals or exceeds x, that wound is not lost.|
8339|Deadly Demise|From detonating ammo stores to corrosive innards or frenzied death throes, some targets are deadly even in defeat.||"DEADLY DEMISEFrom detonating ammo stores to corrosive innards or frenzied death throes, some targets are deadly even in defeat.Some models have Deadly Demise x listed in their abilities. When such a model is destroyed, roll one D6 before removing it from play (if such a model is a TRANSPORT, roll before any embarked models disembark). On a 6, each unit within 6"" of that model suffers a number of mortal wounds denoted by x (if this is a random number, roll separately for each unit within 6"").Example: A TRANSPORT model with the Deadly Demise D3 ability is destroyed. Before any models disembark and before removing it from play, its controlling player rolls one D6, getting a 6. There are three units within 6"" of that destroyed model, so its controlling player rolls one D3 for each of them, inflicting mortal wounds accordingly.Deadly Demise x: When this model is destroyed, roll one D6. On a 6, each unit within 6"" suffers x mortal wounds."|
