datasheet_id|line|ability_id|model|name|description|type|parameter|Unnamed: 8
1|1|8346.0||||Core||
1|2|3676.0||||Faction||
1|3|||Might is Right|While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the Hit roll.|Datasheet||
1|4|||Da Biggest and da Best|While the Waaagh! is active for your army, add 4 to the Attacks characteristic of this models melee weapons.|Datasheet||
2|1|8346.0||||Core||
2|2|3676.0||||Faction||
2|3|||Might is Right|While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the Hit roll.|Datasheet||
2|4|||Dead Brutal|While the Waaagh! is active for your army, this models uge choppa has a Damage characteristic of 3.|Datasheet||
3|1|8346.0||||Core||
3|2|3676.0||||Faction||
3|3|||Speedboss|While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the Hit roll.|Datasheet||
3|4|||High-octane Fuel|"Each time this models unit Advances, do not make an Advance roll for it. Instead, until the end of the phase, add 6"" to the Move characteristic of models in this models unit."|Datasheet||
4|1|8339.0||||Core|D3|
4|2|8346.0||||Core||
4|3|3676.0||||Faction||
4|4|||Waaagh! Energy|While this model is leading a unit, add 1 to the Strength and Damage characteristics of this models Eadbanger weapon for every 5 models in that unit (rounding down), but while that unit contains 10 or more models, that weapon has the [HAZARDOUS] ability.|Datasheet||
4|5|||Da Jump (Psychic)|"Once per turn, at the end of your Movement phase, one WEIRDBOY from your army can use this ability. If it does, roll one D6: on a 1, that WEIRDBOYs unit suffers D6 mortal wounds; on a 2+, remove this WEIRDBOYs unit from the battlefield and set it up again anywhere on the battlefield that is more than 9"" horizontally away from all enemy models."|Datasheet||
6|1|8346.0||||Core||
6|2|3676.0||||Faction||
6|3|||More Dakka|While this model is leading a unit, each time a model in that unit makes a ranged attack, re-roll a Hit roll of 1.|Datasheet||
6|4|||Fix Dat Armour Up|While this model is leading a unit, in your Command phase, you can return 1 destroyed Bodyguard model to that unit.|Datasheet||
6|5|||Kustom Force Field|While the bearer is leading a unit, models in that unit have a 4+ invulnerable save against ranged attacks.|Wargear||
6|6|||Grot Oiler|Once per battle, at the end of your Movement phase, one model in the bearers unit regains D3 lost wounds.Designers Note: Place a Grot Oiler token next to the unit, removing it once this ability has been used.|Wargear||
7|1|8346.0||||Core||
7|2|3676.0||||Faction||
7|3|||Kustom Force Field|While the bearer is leading a unit, models in that unit have a 4+ invulnerable save against ranged attacks.|Wargear||
7|4|||More Dakka|While this model is leading a unit, each time a model in that unit makes a ranged attack, re-roll a Hit roll of 1.|Datasheet||
7|5|||Mekaniak|"At the end of your Movement phase, you can select one friendly Orks Vehicle model within 3"" of this model. That VEHICLE model regains up to D3 lost wounds, and, until the start of your next Movement phase, each time that VEHICLE model makes an attack, add 1 to the Hit roll. Each model can only be selected for this ability once per turn."|Datasheet||
8|1|8346.0||||Core||
8|2|3676.0||||Faction||
8|3|||Prophet of Da Great Waaagh!|While this unit is leading a unit, each time a model in that unit makes a melee attack, add 1 to the Hit roll and add 1 to the Wound roll and if the Waaagh! is active for your army, a Critical Hit is scored on a successful unmodified Hit roll of 5+.|Datasheet||
8|4|||Ghazghkulls Waaagh! Banner (Aura)|"While a friendly ORKS unit is within 12"" of Makari, if the Waaagh! is active for your army, melee weapons equipped by models in that unit have the [LETHAL HITS] ability."|Datasheet||
8|5|||SUPREME COMMANDER|If this unit is in your army, its Ghazghkull Thraka model must be your Warlord.|Special ( )||
9|1|8346.0||||Core||
9|2|3676.0||||Faction||
9|3|||Flashiest Gitz|While this model is leading a unit, each time a model in that unit makes a ranged attack, you can re-roll the Hit roll.|Datasheet||
9|4|||Ded Glowy Ammo (Aura)|"While an enemy Infantry unit is within 6"" of this model, subtract 1 from the Toughness characteristic of models in that unit."|Datasheet||
10|1|8343.0||||Core||
10|2|8338.0||||Core|6+|
10|3|8346.0||||Core||
10|4|3676.0||||Faction||
10|5|||Drill Boss|While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the Hit roll.|Datasheet||
10|6|||Plummeting Descent|You can re-roll Charge rolls made for this models unit in a turn in which it was set up on the battlefield from Reserves.|Datasheet||
11|1|8345.0||||Core||
11|2|8346.0||||Core||
11|3|8336.0||||Core||
11|4|8337.0||||Core||
11|5|3676.0||||Faction||
11|6|||Red Skull Kommandos|While this model is leading a unit, models in that unit have the Benefit of Cover.|Datasheet||
11|7|||Kunnin Infiltrator|"Once per battle, in your Movement phase, instead of making a Normal move with this models unit, you can remove it from the battlefield and set it up again anywhere on the battlefield that is more than 9"" horizontally away from all enemy models."|Datasheet||
12|1|8346.0||||Core||
12|2|3676.0||||Faction||
12|3|||Mekboy|"While this model is within 3"" of one or more friendly Orks Vehicle units, this model has the Lone Operative ability."|Datasheet||
12|4|||Mekaniak|"At the end of your Movement phase, you can select one friendly Orks Vehicle model within 3"" of this model. That VEHICLE model regains up to D3 lost wounds, and, until the start of your next Movement phase, each time that VEHICLE model makes an attack, add 1 to the Hit roll. Each model can only be selected for this ability once per turn."|Datasheet||
13|1|8346.0||||Core||
13|2|3676.0||||Faction||
13|3|||Grot Orderly|Once per battle, in your Command phase, if the bearer is leading a unit that is below its Starting Strength, you can return up to D3 destroyed Bodyguard models to that unit.Designers Note: Place a Grot Orderly token next to the unit, removing it once this ability has been used|Wargear||
13|4|||Doks Toolz|While this model is leading a unit, models in that unit have the Feel No Pain 5+ ability.|Datasheet||
13|5|||Hold Still and Say Aargh!|Each time an attack made by this model with its urty syringe scores a Critical Wound against a unit (excluding VEHICLE units), that unit suffers D6 mortal wounds.|Datasheet||
14|1|8346.0||||Core||
14|2|3676.0||||Faction||
14|3|||Doks Toolz|While this model is leading a unit, models in that unit have the Feel No Pain 5+ ability.|Datasheet||
14|4|||Hold Still and Say Aargh!|Each time an attack made by this model with its urty syringe scores a Critical Wound against a unit (excluding VEHICLE units), that unit suffers D6 mortal wounds.|Datasheet||
15|1|8338.0||||Core|5+|
15|2|8346.0||||Core||
15|3|3676.0||||Faction||
15|4|||Mad Dok|While this model is leading a unit, models in that unit have the Feel No Pain 5+ ability.|Datasheet||
15|5|||One Scalpel Short of a Medpack|While this model is leading a unit, that unit is eligible to declare a charge in a turn in which it Fell Back.|Datasheet||
16|1|3676.0||||Faction||
16|2|||Get Da Good Bitz|At the end of your Command phase, if this unit is within range of an objective marker you control, that objective marker remains under your control, even if you have no models within range of it, until your opponent controls it at the start or end of any turn.|Datasheet||
