datasheet_id|detachment_ability_id|Unnamed: 2
1|9990|
1|8884|
1|9622|
1|8365|
1|9614|
2|8884|
2|8365|
2|9622|
2|9990|
2|9614|
3|8871|
3|8365|
3|8884|
4|8365|
4|9614|
4|9990|
6|8875|
6|9622|
6|9794|
6|8365|
6|9990|
6|9614|
7|9614|
7|8871|
7|8365|
8|9990|
8|8884|
8|9614|
8|9622|
8|8365|
9|8365|
9|9990|
10|8365|
10|9990|
11|8365|
11|9614|
11|9990|
12|8875|
12|8365|
12|9990|
12|9614|
12|9794|
13|8365|
13|9614|
13|9990|
14|8365|
14|8871|
15|8365|
15|9614|
15|9990|
16|9614|
16|8365|
16|9990|
16|8880|
17|8365|
17|9990|
19|9614|
19|9990|
19|8365|
20|9990|
20|8365|
21|9614|
21|9990|
21|9622|
21|8884|
21|8365|
22|9990|
22|8365|
23|8871|
23|8365|
24|9990|
24|9622|
24|8884|
24|8365|
25|8365|
25|9990|
25|9614|
26|8365|
27|9614|
27|9990|
27|8365|
28|8871|
28|8365|
29|8871|
29|8365|
30|8871|
30|8365|
31|8871|
31|8365|
32|8871|
32|8365|
33|8871|
33|8365|
34|8365|
34|8871|
35|8365|
35|8871|
36|8365|
36|8871|
37|9794|
37|8875|
37|8365|
38|8875|
38|9794|
38|8365|
39|8365|
40|9990|
40|8365|
40|8875|
40|9794|
41|9990|
41|8365|
41|9794|
41|8875|
42|9990|
42|9794|
42|8875|
42|8365|
43|8875|
43|9990|
43|8365|
43|9794|
44|8365|
44|9990|
45|9614|
45|9990|
45|8365|
46|9990|
46|8875|
46|8365|
46|9794|
49|9794|
49|8875|
49|8365|
50|8875|
50|9794|
50|8365|
51|8365|
52|8365|
52|9990|
52|9794|
52|8875|
53|8365|
54|8365|
55|8365|
56|8365|
57|8365|
57|8871|
59|8365|
60|8485|
60|8489|
60|8473|
60|10367|
60|8493|
60|8521|
60|8374|
60|9732|
60|9834|
60|9842|
60|9850|
60|10154|
60|10268|
60|10683|
60|10679|
60|10658|
60|9242|
60|8355|
60|10657|
60|8481|
60|10632|
60|10391|
60|10399|
60|10459|
60|10463|
60|10620|
60|10621|
60|10626|
60|10627|
60|8770|
60|8777|
60|10644|
60|8477|
61|8489|
61|8481|
61|8777|
61|10367|
61|8473|
61|10621|
61|8485|
61|10626|
61|10679|
61|10620|
61|10268|
61|8374|
61|10391|
61|10657|
61|10683|
61|9842|
61|9732|
61|10658|
61|8493|
61|8477|
61|10627|
61|10632|
61|10463|
61|9850|
61|10399|
61|9834|
61|10154|
61|10459|
61|10644|
61|8355|
61|8770|
63|9834|
63|10621|
63|9842|
63|8477|
63|10268|
63|8374|
63|8355|
63|8770|
63|8777|
63|8493|
63|10626|
63|10620|
63|10391|
63|10154|
63|10657|
63|10459|
63|8489|
63|9732|
63|8485|
63|10463|
63|10367|
63|10644|
63|10399|
63|10683|
63|8481|
63|10632|
63|8473|
63|8521|
63|10679|
63|10658|
63|10627|
64|10620|
64|10391|
64|9189|
64|10367|
64|8477|
64|8473|
64|10657|
64|8485|
64|8489|
64|8493|
64|9732|
64|10626|
64|9842|
64|10268|
64|8777|
64|10154|
64|10658|
64|10399|
64|10644|
64|10463|
64|8770|
64|10632|
64|10627|
64|10683|
64|10621|
64|10459|
64|10679|
64|8374|
64|9834|
64|9850|
64|8355|
64|8481|
65|8355|
65|9732|
65|8473|
65|10621|
65|8485|
65|10620|
65|10626|
65|10367|
65|8489|
65|10683|
65|10463|
65|9842|
65|8481|
65|8521|
65|8770|
65|10627|
65|10658|
65|10644|
65|10632|
65|10459|
65|10657|
65|10399|
65|9834|
65|10679|
65|10268|
65|8493|
65|10391|
65|8477|
65|8374|
65|8777|
66|8485|
66|10627|
66|10620|
66|8374|
66|8770|
66|10367|
66|8355|
66|8521|
66|10657|
66|8477|
66|10644|
66|10683|
66|10626|
66|10399|
66|10463|
66|10658|
66|10621|
66|8777|
66|10268|
66|9842|
66|10391|
66|9732|
66|8493|
66|8489|
66|8473|
66|10679|
66|10459|
66|9834|
66|10632|
66|8481|
67|8485|
67|8489|
67|8493|
67|9732|
67|8374|
67|8481|
67|10657|
67|10644|
67|10632|
67|10683|
67|8777|
67|10621|
67|8477|
67|10367|
67|10268|
67|10459|
67|9842|
67|8770|
67|10620|
67|10391|
67|8355|
67|10679|
67|10626|
67|10399|
67|10658|
67|10627|
67|8521|
67|9834|
67|10463|
67|8473|
68|8477|
68|10621|
68|10367|
68|10626|
68|10679|
68|8493|
68|10658|
68|10657|
68|8777|
68|10268|
68|10683|
68|9842|
68|10391|
68|9732|
68|8489|
68|10644|
68|10463|
68|8485|
68|10620|
68|8473|
68|8374|
68|9834|
68|8770|
68|10399|
68|8521|
68|10627|
68|9189|
68|9850|
68|10632|
68|10154|
68|8355|
68|10459|
68|8481|
70|10391|
70|10679|
70|10683|
70|10463|
70|10621|
70|10658|
70|8473|
70|8485|
70|9850|
70|10268|
70|10459|
70|8489|
70|8493|
70|10620|
70|9732|
70|8770|
70|10627|
70|10632|
70|8355|
70|8777|
70|8477|
70|10367|
70|10657|
70|9842|
70|9242|
70|8481|
70|10399|
70|9834|
70|8374|
70|10626|
70|10644|
70|10675|
70|10154|
71|10367|
71|10683|
71|8477|
71|10627|
71|8489|
71|10621|
71|8485|
71|8374|
71|9842|
71|8773|
71|10620|
71|9242|
71|8521|
71|10658|
71|10459|
71|10154|
71|10632|
71|10657|
71|8770|
71|10626|
71|9834|
71|10268|
71|10463|
71|8777|
71|8355|
71|10644|
71|9850|
71|9732|
71|10391|
71|8473|
71|10399|
71|10679|
71|8493|
71|8481|
72|8477|
72|10644|
72|8374|
72|10658|
72|10391|
72|10632|
72|10621|
72|10399|
72|8777|
