datasheet_id|line|button|description|Unnamed: 4
1|1||This models big choppa can be replaced with 1 power klaw.|
1|2||This model can be equipped with 1 attack squig.|
3|1||This models killsaw can be replaced with one of the following:1 big choppa1 power klaw|
6|1||This models kustom-mega blasta can be replaced with one of the following:1 killsaw1 kombi-weapon1 kustom shoota|
6|2||This model can be equipped with one of the following:1 tellyport blasta1 kustom force field|
6|3||This model can be equipped with 1 grot oiler.|
7|1||This models slugga can be replaced with one of the following:1 shokk attack gun1 kustom force field1 kombi-weapon1 kustom mega-blasta1 kustom mega-slugga1 rokkit launcha1 big choppa1 power klaw|
7|2||This models choppa can be replaced with one of the following:1 kombi-weapon1 kustom mega-blasta1 kustom mega-slugga1 rokkit launcha1 big choppa1 killsaw1 power klaw|
9|1|||
10|1|||
12|1||This models wrench can be replaced with 1 killsaw.|
13|1||This model can be equipped with 1 grot orderly.|
14|1||This models power klaw can be replaced with 1 killsaw.|
15|1|||
16|1||The Boss Nobs big choppa can be replaced with 1 power klaw.|
16|2||The Boss Nobs big choppa and slugga can be replaced with 1 kombi-weapon and 1 close combat weapon.|
16|3||Any number of Boyz can each have their slugga and choppa replaced with 1 shoota and 1 close combat weapon.|
16|4||For every 10 models in this unit, 1 Boys choppa and slugga can be replaced with one of the following:1 big shoota and 1 close combat weapon1 rokkit launcha and 1 close combat weapon|
19|1||Any number of Spanners can each have their big shoota replaced with one of the following:1 kustom mega-blasta1 rokkit launcha|
20|1||1 of the Boss Nobs rokkit pistols can be replaced with 1 smash hammer.|
20|2||One Tankbusta can be equipped with one of the following:1 pulsa rokkit1 additional rokkit launcha|
21|1||Any number of models can each have their big choppa replaced with 1 power klaw.|
21|2||Any number of models can each have their slugga and big choppa replaced with 1 kombi-weapon and 1 close combat weapon.|
21|3||For every 5 models in this unit, this unit can be equipped with 1 ammo runt.|
22|1|||
23|1||Any number of models can each be equipped with 1 slugga.|
23|2||Any number of models can each have their choppa replaced with one of the following:1 big choppa1 killsaw1 power klaw1 power stabba1 slugga|
24|1||Any number of models can each have their kustom shoota and power klaw replaced with one of the following:1 kombi-weapon and 1 power klaw1 kombi-weapon and 1 killsaw1 kustom shoota and 1 killsaw1 killsaw and 1 power klaw1 twin killsaw|
25|1||The Boss Nobs choppa can be replaced with one of the following:1 big choppa1 power klaw|
25|2||Up to 2 Kommandos can each have their slugga and choppa replaced with 1 speshul Kommando shoota and 1 close combat weapon.|
25|3||1 Kommandos slugga and choppa can be replaced with 1 breacha ram.|
25|4||1 Kommandos slugga and choppa can be replaced with 1 burna and 1 close combat weapon.|
25|5||1 Kommandos slugga and choppa can be replaced with 1 rokkit launcha and 1 close combat weapon.|
25|6||This unit can be equipped with 1 bomb squig.|
25|7||This unit can be equipped with 1 distraction grot.|
26|1||This model can be equipped with 1 wreckin ball.|
27|1||The Boss Nobs choppa can be replaced with 1 power klaw.|
28|1||For every 3 models in this unit, 1 Deffkopta can have its kopta rokkits replaced with 1 kustom mega-blasta.|
29|1||This model can be equipped with 1 additional twin supa-shoota.|
30|1||This model can be equipped with 1 skorcha missile rack.|
32|1||This models twin wazbom mega-kannon can be replaced with 1 twin tellyport mega-blasta.|
32|2||This model can be equipped with 1 blastajet force field.|
32|3||This model can be equipped with 1 twin supa-shoota.|
33|1||Each Warbiker can be equipped with one of the following:1 slugga1 choppa|
33|2||The Boss Nob on Warbike can be equipped with one of the following:1 slugga1 big choppa1 power klaw|
34|1||Any number of models can each have their twin big shoota replaced with 1 rack of rokkits.|
35|1|||
36|1||Any number of models can each have their twin big shoota replaced with 1 rack of rokkits.|
37|1||Any number of models can each have their kannon replaced with one of the following:1 lobba1 zzap gun|
38|1||Each models smasha gun can be replaced with one of the following:1 bubblechukka1 kustom mega-kannon1 traktor kannon|
39|1||This model can be equipped with one of the following:1 kannon1 killkannon1 zzap gun|
39|2||This model can be equipped with:1 lobba|
39|3||This model can be equipped with up to 4 big shootas.|
39|4||This models tracks and wheels can be replaced with 1 deff rolla.|
39|5||This model can be equipped with any of the following:1 ard case1 grabbin klaw1 wreckin ball|
40|1||This models big shootas can each be replaced with one of the following:1 dread klaw1 kustom-mega blasta1 rokkit launcha1 skorcha|
40|2||This models dread klaws can each be replaced with one of the following:1 big shoota1 kustom-mega blasta1 rokkit launcha1 skorcha|
41|1||Each Killa Kans Kan shoota can be replaced with one of the following:1 grotzooka1 rokkit launcha1 skorcha|
44|1||Any number of Spanners can each have their big shoota replaced with one of the following:1 kustom mega-blasta1 rokkit launcha|
45|1||This unit can be equipped with 1 ammo runt.|
49|1||Any number of models can each have their big shoota replaced with one of the following:1 grotzooka1 kustom mega-blasta1 rokkit launcha1 skorcha|
49|2||For every four models in this unit, one model can be equipped with one of the following in addition to any other weapons:1 Grot tank shoota1 grotzooka1 kustom mega-blasta1 rokkit launcha1 skorcha|
50|1||This models twin big shoota can be replaced with one of the following:1 twin grotzooka1 twin kustom mega-blasta1 twin rokkit launcha1 twin skorcha|
50|2||This models twin grotzooka can be replaced with one of the following:1 twin big shoota1 twin kustom mega-blasta1 twin rokkit launcha1 twin skorcha|
51|1||This model can be equipped with 1 kannon.|
52|1||This models killkannon can be replaced with one of the following:1 dread killsaw1 dread rippa klaw|
52|2||This models dread rippa klaw can be replaced with one of the following:1 dread killsaw1 killkannon|
53|1||This models tracks and wheels can be replaced with 1 deff rolla.|
53|2||This model can be equipped with 1 grabbin klaw.|
53|3||This model can be equipped with 1 wreckin ball.|
53|4||This model can be equipped with one of the following:1 big shoota2 big shootas1 big shoota and 1 rokkit launcha1 rokkit launcha2 rokkit launchas|
54|1||This model can be equipped with one of the following:1 kannon1 supa-kannon|
55|1||This model can be equipped with up to 3 big shootas.|
56|1||This models bursta kannon can be replaced with 1 giga shoota.|
57|1||This model can be equipped with up to 2 big bomms.|
57|2||This models big shoota can be replaced with one of the following:1 kustom mega-blasta1 rokkit launcha1 skorcha|
57|3||This models 2 deffguns can be replaced with 2 rattler kannons.|
59|1||This model can be equipped with one of the following:1 kannon1 supa-kannon|
61|1||The Assault Sergeants bolt pistol can be replaced with one of the following:1 grav-pistol1 hand flamer1 inferno pistol1 plasma pistol|
61|2||The Assault Sergeants Astartes chainsword can be replaced with one of the following:1 power fist1 power weapon1 thunder hammer|
61|3||The Assault Sergeant can do one of the following:Replace its bolt pistol and Astartes chainsword with 1 twin lightning claws.Be equipped with 1 Astartes shield.|
61|4||Up to 2 Assault Marines can each have their bolt pistol and Astartes chainsword replaced with one of the following:1 plasma pistol and 1 Astartes chainsword1 flamer and 1 close combat weapon1 meltagun and 1 close combat weapon1 plasma gun and 1 close combat weapon|
61|5||For every 5 models in this unit, 1 models Astartes chainsword can be replaced with 1 eviscerator.|
63|1|||
64|1||The Assault Sergeant with Jump Packs bolt pistol can be replaced with one of the following:1 grav-pistol1 hand flamer1 inferno pistol1 plasma pistol|
64|2||The Assault Sergeant with Jump Packs Astartes chainsword can be replaced with one of the following:1 power fist1 power weapon1 thunder hammer|
64|3||The Assault Sergeant with Jump Pack can do one of the following:Replace its bolt pistol and Astartes chainsword with 1 twin lightning claws.Be equipped with 1 Astartes shield.|
64|4||Up to 2 Assault Marines with Jump Packs can each have their bolt pistol and Astartes chainsword replaced with one of the following:1 plasma pistol and 1 Astartes chainsword1 flamer and 1 close combat weapon1 meltagun and 1 close combat weapon1 plasma gun and 1 close combat weapon|
64|5||For every 5 models in this unit, 1 models Astartes chainsword can be replaced with 1 eviscerator.|
65|1||This model can be equipped with 1 hunter-killer missile.|
65|2||This model can be equipped with 1 multi-melta.|
65|3||This model can be equipped with 1 storm bolter.|
66|1||This model can be equipped with 1 hunter-killer missile.|
66|2||This model can be equipped with 1 multi-melta.|
66|3||This model can be equipped with 1 storm bolter.|
67|1||This model can be equipped with 1 hunter-killer missile.|
67|2||This model can be equipped with 1 storm bolter.|
67|3||This model can be equipped with 1 multi-melta.|
67|4||This model can be equipped with 1 combi-weapon.|
70|1||1 Tactical Marines boltgun can be replaced with one of the following:1 flamer1 heavy bolter1 grav-cannon1 grav-gun1 lascannon1 meltagun1 missile launcher1 multi-melta1 plasma cannon1 plasma gun|
70|2||1 Tactical Marines boltgun can be replaced with one of the following:1 flamer1 grav-gun1 meltagun1 plasma gun|
70|3||The Tactical Sergeants bolt pistol and boltgun can be replaced with 1 twin lightning claws, or two different weapons from the following list:* 1 Astartes chainsword1 bolt pistol1 boltgun1 combi-weapon1 grav-pistol1 plasma pistol1 storm bolter1 power fist1 power weapon1 thunder hammer|
70|4|*| * This model can only be equipped with two ranged weapons if one of them is a Pistol (and it can only have one Pistol).|
71|1||The Bladeguard Veteran Sergeants heavy bolt pistol can be replaced with one of the following:1 neo-volkite pistol1 plasma pistol|
72|1|||
73|1||This models bolt pistol, master-crafted bolter and close combat weapon can be replaced with one of the following: 1 heavy bolt pistol and 1 power fist 1 heavy bolt pistol and 1 master-crafted power weapon 1 neo-volkite pistol and 1 power fist 1 neo-volkite pistol and 1 master-crafted power weapon 1 plasma pistol and 1 power fist 1 plasma pistol and 1 master-crafted power weapon 1 heavy bolt pistol, 1 master-crafted power weapon and 1 relic shield|
73|2||This models close combat weapon can be replaced with one of the following: 1 master-crafted power weapon 1 power fist|
79|1||This model can be equipped with one of the following:1 combi-weapon1 storm bolter|
83|1||This models heavy bolt pistol can be replaced with one of the following: 1 plasma pistol 1 hand flamer |
83|2||This models Astartes chainsword can be replaced with one of the following: 1 power fist 1 relic weapon|
83|3||This models heavy bolt pistol and Astartes chainsword can be replaced with 1 thunder hammer and 1 relic shield.|
83|4||If this model is equipped with a heavy bolt pistol and an Astartes chainsword, it can be equipped with 1 relic shield. This models heavy bolt pistol and Astartes chainsword cannot be replaced.|
84|1||This models skyhammer missile launcher can be replaced with one of the following:1 twin heavy bolter1 typhoon missile launcher|
84|2||This models las-talon can be replaced with 1 Icarus stormcannon.|
85|1||This model can be equipped with 1 hunter-killer missile.|
86|1||Any number of models can each have their twin Firestrike las-talon replaced with 1 twin Firestrike autocannon.|
92|1||This model can be equipped with one of the following:2 heavy bolters2 lascannons|
92|2||This model can be equipped with 1 hunter-killer missile.|
92|3||This model can be equipped with 1 storm bolter.|
93|1||This model can be equipped with one of the following:2 heavy bolters2 lascannons|
93|2||This model can be equipped with one of the following:1 heavy bolter1 heavy flamer1 multi-melta1 storm bolter|
95|1|||
96|1|||
97|1||This models Hammerfall heavy bolter array can be replaced with 1 Hammerfall heavy flamer array.|
98|1||This models twin heavy bolter replaced with 1 twin lascannon.|
99|1|||
103|1||For every 3 models in this unit, 1 Eradicators melta rifle can be replaced with 1 multi-melta.|
104|1||The Relic Terminator Sergeants combi-bolter can be replaced with one of the following:1 plasma blaster1 volkite charger|
104|2||For every 5 models in this unit, 1 Relic Terminators combi-bolter can be replaced with one of the following:1 heavy flamer1 reaper autocannon|
104|3||For every 5 models in this unit, 1 model can be equipped with 1 grenade harness.|
104|4||Any number of models can each have their power fist replaced with 1 power weapon.|
104|5||Any number of models can each have their power fist replaced with one 1 chainfist.|
104|6||Any number of models can each have their combi-bolter and power fist replaced with 1 twin lightning claws.|
107|1||This models javelin missile launcher can be replaced with 2 lascannons|
107|2||This models heavy bolter can be replaced with 1 multi-melta.|
107|3||This model can be equipped with up to 2 hunter-killer missiles.|
110|1||This models quad heavy bolter can be replaced with one of the following1 graviton cannon1 laser destroyer1 quad launcher|
