datasheet_id|line|line_in_wargear|dice|name|description|range|type|A|BS_WS|S|AP|D|Unnamed: 13
1|1.0|1||Kombi-weapon|anti-infantry 4+, devastating wounds, rapid fire 1|24|Ranged|1|5|4|0|1|
1|2.0|1||Twin slugga|pistol, twin-linked|12|Ranged|2|5|4|0|1|
1|3.0|1||Attack squig|extra attacks|Melee|Melee|2|4|4|0|1|
1|4.0|1||Big choppa||Melee|Melee|5|2|8|-1|2|
1|5.0|1||Power klaw||Melee|Melee|4|3|10|-2|2|
2|1.0|1||Big shoota|rapid fire 2|36|Ranged|3|4|5|0|1|
2|2.0|1||Uge choppa||Melee|Melee|4|2|12|-2|2|
3|1.0|1||Twin dakkagun|assault, rapid fire 2, twin-linked|18|Ranged|3|5|5|0|1|
3|2.0|1||Big choppa||Melee|Melee|5|2|8|-1|2|
3|3.0|1||Killsaw||Melee|Melee|3|4|12|-3|2|
3|4.0|1||Power klaw||Melee|Melee|4|3|10|-2|2|
4|1.0|1||Eadbanger|precision, psychic|24|Ranged|1|4|6|-3|1|
4|2.0|1||Weirdboy staff|psychic|Melee|Melee|3|3|8|-1|D3|
6|1.0|1||Kombi-weapon|anti-infantry 4+, devastating wounds, rapid fire 1|24|Ranged|1|5|4|0|1|
6|2.0|1||Kustom mega-blasta|hazardous|24|Ranged|3|5|9|-2|D6|
6|3.0|1||Kustom shoota|rapid fire 2|18|Ranged|4|5|4|0|1|
6|4.0|1||Tellyport blasta|blast|12|Ranged|3|5|8|-1|3|
6|5.0|1||Killsaw||Melee|Melee|3|4|12|-3|2|
6|6.0|1||Power klaw||Melee|Melee|4|3|9|-2|2|
7|1.0|1||Kombi-weapon|anti-infantry 4+, devastating wounds, rapid fire 1|24|Ranged|1|5|4|0|1|
7|2.0|1||Kustom mega-blasta|hazardous|24|Ranged|3|5|9|-2|D6|
7|3.0|1||Kustom mega-slugga|blast, hazardous|12|Ranged|D3|5|8|-2|D6|
7|4.0|1||Rokkit launcha|blast|24|Ranged|D3|5|9|-2|3|
7|5.0|1||Shokk attack gun|blast, heavy|60|Ranged|D6+1|5|9|-4|D6|
7|6.0|1||Slugga|pistol|12|Ranged|1|5|4|0|1|
7|7.0|1||Twin dakkagun|assault, rapid fire 2, twin-linked|18|Ranged|3|5|5|0|1|
7|8.0|1||Big choppa||Melee|Melee|4|3|7|-1|2|
7|9.0|1||Choppa||Melee|Melee|4|3|5|-1|1|
7|10.0|1||Close combat weapon||Melee|Melee|4|3|5|0|1|
7|11.0|1||Killsaw||Melee|Melee|3|4|12|-3|2|
7|12.0|1||Power klaw||Melee|Melee|4|4|9|-2|2|
8|1.0|1||Morks Roar|rapid fire 4|36|Ranged|12|5|5|0|1|
8|2.0|1||Gorks Klaw - strike||Melee|Melee|6|2|14|-3|4|
8|3.0|2||Gorks Klaw - sweep||Melee|Melee|12|2|8|-2|2|
8|4.0|1||Makaris stabba|devastating wounds|Melee|Melee|1|4|3|0|1|
9|1.0|1||Da Rippa  standard|heavy, sustained hits 1|24|Ranged|3|5|7|-2|2|
9|2.0|2||Da Rippa  supercharge|hazardous, heavy, sustained hits 1|24|Ranged|3|5|8|-3|3|
9|3.0|1||Slugga|pistol|12|Ranged|1|4|4|0|1|
9|4.0|1||Choppa||Melee|Melee|6|2|5|-1|1|
10|1.0|1||Slugga|pistol|12|Ranged|1|5|4|0|1|
10|2.0|1||Da Vulchas Klaws and choppa||Melee|Melee|6|2|8|-2|2|
11|1.0|1||Slugga|pistol|12|Ranged|1|4|4|0|1|
11|2.0|1||Morks Teeth|precision, twin-linked|Melee|Melee|6|2|6|-1|2|
12|1.0|1||Kustom mega-slugga|blast, hazardous|12|Ranged|D3|5|8|-2|D6|
12|2.0|1||Killsaw||Melee|Melee|1|4|12|-3|2|
12|3.0|1||Wrench||Melee|Melee|3|3|4|0|1|
13|1.0|1||Power klaw||Melee|Melee|3|4|9|-2|2|
13|2.0|1||Urty syringe|anti-infantry 4+, extra attacks, precision|Melee|Melee|1|3|2|0|1|
14|1.0|1||Twin dakkagun|assault, rapid fire 2, twin-linked|18|Ranged|3|5|5|0|1|
14|2.0|1||Killsaw||Melee|Melee|2|4|12|-3|2|
