faction_id|name|id|type|cp_cost|legend|turn|phase|detachment|detachment_id|description|Unnamed: 11
|EXPLOSIVE CLEARANCE|9218006|Boarding Actions  Battle Tactic Stratagem|1.0|A well-placed explosive munition in confined shipboard spaces can cause bloody carnage.|Your turn|Shooting phase|||WHEN: Your Shooting phase.TARGET: One unit from your army that has not been selected to shoot this phase.EFFECT: Select one model in your unit that is equipped with a weapon with the [BLAST] ability. Until the end of the phase, when determining how many models are in the target unit for the purpose of that ability, include models that are not visible to the attacking model. In addition, attacks made with that weapon can be allocated to models that are not visible to the attacking model.|
|INSANE BRAVERY|9218005|Boarding Actions  Epic Deed Stratagem|1.0|Indifferent to their own survival, these warriors hold their ground against seemingly impossible odds.|Your turn|Command phase|||WHEN: Battle-shock step of your Command phase, just after you have failed a Battle-shock test taken for a unit from your army.TARGET: The unit from your army that Battle-shock test was just taken for (even though your Battle-shocked units cannot normally be affected by your Stratagems).EFFECT: Your unit is treated as having passed that test instead, and is not Battle-shocked as a result.|
|COMMAND RE-ROLL|9218002|Boarding Actions  Epic Deed Stratagem|1.0|A great commander can bend even the vagaries of fate and fortune to their will, the better to ensure victory.|Either players turn|Any phase|||WHEN: Any phase, just after you have made a Hit roll, a Wound roll, a Damage roll, a saving throw, an Advance roll, a Charge roll, a Desperate Escape test, a Hazardous test, or just after you have rolled the dice to determine the number of attacks made with a weapon, for an attack, model or unit from your army.TARGET: That unit or model from your army.EFFECT: You re-roll that roll, test or saving throw.|
|BATTLEFIELD COMMAND|9218003|Boarding Actions  Strategic Ploy Stratagem|1.0|The commander's authoritative tone cuts through the din of battle, guiding the actions of nearby troops.|Either players turn|Any phase|||"WHEN: Start or end of any phase.TARGET: One Leader unit from your army and one friendly Bodyguard unit within 6"" of it that it could normally be attached to.EFFECT: Select one of your Leader units Leader abilities. Until the start of your next Command phase, that Bodyguard unit is treated as being led by that Leader unit for the purposes of that Leader ability.RESTRICTIONS: Once you target a unit with this Stratagem, that unit cannot be targeted with it again until your next Command phase."|
|COUNTER-OFFENSIVE|9218004|Boarding Actions  Strategic Ploy Stratagem|2.0|In close-quarters combat, the slightest hesitation can leave an opening for a swift foe to exploit.|Either players turn|Fight phase|||WHEN: Fight phase, just after an enemy unit has fought.TARGET: One unit from your army that is within Engagement Range of one or more enemy units and that has not already been selected to fight this phase.EFFECT: Your unit fights next.|
|RENEWED FOCUS|10252002|Challenger  Battle Tactic Stratagem|0.0|Shutting out the din of battle, these warriors focus only on their foes, unleashing an inescapable fusillade of death and destruction.|Your turn|Shooting or Fight phase|||WHEN: Your Shooting phase or your Fight phase.TARGET: One unit from your army that has not been selected to shoot or fight this phase.EFFECT: Until the end of the phase, each time a model in your unit makes an attack, re-roll a Hit roll of 1 and re-roll a Wound roll of 1.|
|GREAT HASTE|10250002|Challenger  Strategic Ploy Stratagem|0.0|Speed is often the key to victory, and this unit is blessed with exceptional celerity.|Your turn|Movement phase|||"WHEN: Your Movement phase.TARGET: One unit from your army that has not been selected to move this phase.EFFECT: Until the end of the phase, add D6"" to the Move characteristic of models in your unit."|
|OPPORTUNISTIC STRIKE|10248002|Challenger  Strategic Ploy Stratagem|0.0|Taking advantage of the foes exposed position, these warriors launch a well-timed attack.|Your turn|Shooting phase|||"WHEN: Your Shooting phase.TARGET: One unit from your army that is not within Engagement Range of one or more enemy units.EFFECT: Select one enemy unit that is not within Engagement Range of one or more units from your army and is within 6"" of and visible to your unit. Roll six D6: for each 4+, that enemy unit suffers 1 mortal wound."|
|FORCE A BREACH|10249002|Challenger  Strategic Ploy Stratagem|0.0|Break through their defences, smash down their walls and barricades and breach their lines. Let no obstacle halt your progress.|Your turn|Movement phase|||WHEN: Your Movement phase.TARGET: One unit from your army that has not been selected to move this phase.EFFECT: Until the end of the phase, each time your unit makes a Normal or Advance move, it can move horizontally through models and terrain features.|
|PIVOTAL MOMENT|10251002|Challenger  Strategic Ploy Stratagem|0.0|The outcome of the battle hangs in the balance. This is the time to strike hard and without mercy.|Your turn|Movement phase|||WHEN: Your Movement phase.TARGET: One unit from your army.EFFECT: Until the end of the turn, your unit is eligible to shoot and declare a charge in a turn in which it Advanced or Fell Back.|
